2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
183 3.948509 0.383310 1.000000 1.000000 0.000000 0.978400 
184 4.147297 0.386858 1.000000 1.000000 0.000000 0.978400 
185 4.346802 0.388476 1.000000 1.000000 0.000000 0.978400 
186 4.546002 0.388473 1.000000 1.000000 0.000000 0.978400 
187 4.745198 0.388402 1.000000 1.000000 0.000000 0.978400 
188 4.944389 0.388261 1.000000 1.000000 0.000000 0.978400 
189 5.143578 0.388051 1.000000 1.000000 0.000000 0.978400 
190 5.342769 0.387769 1.000000 1.000000 0.000000 0.978400 
191 5.541807 0.386895 1.000000 1.000000 0.000000 0.978400 
192 5.740530 0.384899 1.000000 1.000000 0.000000 0.978400 
193 5.939251 0.382809 1.000000 1.000000 0.000000 0.978400 
194 6.138285 0.381663 1.000000 1.000000 0.000000 0.978400 
195 6.337477 0.380951 1.000000 1.000000 0.000000 0.978400 
196 6.536671 0.380155 1.000000 1.000000 0.000000 0.978400 
197 6.735860 0.379276 1.000000 1.000000 0.000000 0.978400 
198 6.936934 0.378540 1.000000 1.000000 0.000000 0.978400 
199 7.142026 0.379230 1.000000 1.000000 0.000000 0.978400 
200 7.352434 0.385661 1.000000 1.000000 0.000000 0.978400 
201 7.571462 0.412385 1.000000 1.000000 0.000000 0.978400 
202 7.641976 0.592298 1.000000 1.000000 0.000000 0.978400 
203 7.609724 0.753831 1.000000 1.000000 0.000000 0.978400 
204 7.600124 0.951015 1.000000 1.000000 0.000000 0.978400 
205 7.606844 1.154499 1.000000 1.000000 0.000000 0.978400 
206 7.606943 1.365658 1.000000 1.000000 0.000000 0.978400 
207 7.583479 1.612645 1.000000 1.000000 0.000000 0.978400 
208 7.359631 1.638129 1.000000 1.000000 0.000000 0.978400 
209 7.196551 1.680219 1.000000 1.000000 0.000000 0.978400 
210 7.025664 1.628365 1.000000 1.000000 0.000000 0.978400 
211 6.819320 1.681523 1.000000 1.000000 0.000000 0.978400 
212 6.658200 1.641410 1.000000 1.000000 0.000000 0.978400 
213 6.463289 1.620260 1.000000 1.000000 0.000000 0.978400 
214 6.263639 1.611545 1.000000 1.000000 0.000000 0.978400 
215 6.063794 1.609245 1.000000 1.000000 0.000000 0.978400 
216 5.864696 1.608407 1.000000 1.000000 0.000000 0.978400 
